author,score
"Adams, F. Colburn (Francis Colburn), 1850-1891",0.5345265485238337
"Adams, H. A., Mrs.",0.43572389284769686
"Adams, Henry, 1838-1918",0.08108426843370702
"Addison, Joseph, 1672-1719; Steele, Richard, Sir, 1672-1729",-0.6355055104131282
"Addleshaw, Percy, 1866-1916 [Contributor]; Doyle, Arthur Conan, 1859-1930 [Contributor]; Haggard, H. Rider (Henry Rider), 1856-1925 [Contributor]; Landers, J. [Contributor]; Scully, W. C. (William Charles), 1855-1943 [Contributor]",1.491258277893066
"Aesop, 620? BCE-564? BCE; Townsend, George Fyler, 1814-1900 [Translator]",0.058945007011538576
"Ainsworth, William Harrison, 1805-1882",-0.4293660934154803
"Alcott, Louisa May, 1832-1888",0.665665002969595
"Aldrich, Thomas Bailey, 1836-1907",0.5608465406629776
"Alger, Horatio, Jr., 1832-1899",0.5489835006850105
"Altemus, Henry [Editor]",0.8047331809997552
"Andersen, H. C. (Hans Christian), 1805-1875",0.3036351428606123
"Angellotti, Marion Polk, 1887-1975",0.13949646371783628
"Anstey, F., 1856-1934 [Contributor]; Barrie, J. M. (James Matthew), 1860-1937 [Contributor]; Corelli, Marie, 1855-1924 [Contributor]; Harraden, Beatrice, 1864-1936 [Contributor]; Morrison, Arthur, 1863-1945 [Contributor]; Quiller-Couch, Arthur, 1863-1944 [Contributor]; Zangwill, Israel, 1864-1926 [Contributor]",0.10238506529066274
"Arthur, T. S. (Timothy Shay), 1809-1885",0.4547039695408033
"Atkinson, Eleanor, 1863-1942",0.7921022117560635
"Aytoun, William Edmondstoune, 1813-1865 [Contributor]; Barrie, J. M. (James Matthew), 1860-1937 [Contributor]; Crockett, S. R. (Samuel Rutherford), 1860-1914 [Contributor]; Maclaren, Ian, 1850-1907 [Contributor]; Scott, Walter, 1771-1832 [Contributor]; Stevenson, Robert Louis, 1850-1894 [Contributor]",0.5157664934794107
"Bacon, Francis, 1561-1626",0.10638714971996518
"Ballou, Maturin M. (Maturin Murray), 1820-1895",0.7417226720739292
"Balzac, Honoré de, 1799-1850; Bell, Clara, 1834-1927 [Translator]; Marriage, Ellen, 1865-1946 [Translator]",0.005862042307853731
"Balzac, Honoré de, 1799-1850; Marriage, Ellen, 1865-1946 [Translator]",0.34589896857283486
"Balzac, Honoré de, 1799-1850; Saintsbury, George, 1845-1933 [Author of introduction, etc.]",0.37687015533447205
"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",0.33486246093939437
"Bannerman, Helen, 1862-1946",0.37805446624755873
"Baring, Maurice, 1874-1945",0.16486463371230042
"Barker, Nettie Garmer",2.105490446090698
"Barr, Amelia E., 1831-1919",-0.5113227367401124
"Barr, Robert, 1850-1912",0.5565302202778477
"Barrie, J. M. (James Matthew), 1860-1937",-0.2814715191614713
"Beach, Lewis, 1891-; Gerstenberg, Alice, 1885-1972; Goodman, Edward, 1888-; Moeller, Philip, 1880-1958; Eaton, Walter Prichard, 1878-1957 [Author of introduction, etc.]",0.36292608160721607
"Beaumont, Mary [Contributor]; Douglas, Robert K. (Robert Kennaway), Sir, 1838-1913 [Contributor]; Kipling, Rudyard, 1865-1936 [Contributor]; Mitford, Mary Russell, 1787-1855 [Contributor]; Roberts, Morley, 1857-1942 [Contributor]; Syrett, Netta, 1865-1943 [Contributor]",0.15868613425265546
"Beck, L. Adams (Lily Adams), 1862-1931",0.007375915845235115
"Beerbohm, Max, Sir, 1872-1956",0.14241992337729337
"Beerbohm, Max, Sir, 1872-1956; Lane, John, 1854-1925 [Contributor]",-0.044528156518936324
"Bennett, Arnold, 1867-1931",1.0780916690826412
"Benson, E. F. (Edward Frederic), 1867-1940",0.1657148125351115
"Biggers, Earl Derr, 1884-1933",0.30393661393059607
"Bindloss, Harold, 1866-1945",0.27172416411105926
"Black, William, 1841-1898 [Contributor]; Harraden, Beatrice, 1864-1936 [Contributor]; Ouida, 1839-1908 [Contributor]; Stevenson, Robert Louis, 1850-1894 [Contributor]; Winter, John Strange, 1856-1911 [Contributor]",1.0995720339493011
"Bojer, Johan, 1872-1959; Archer, Charles, 1861-1941 [Translator]; Worster, W. J. Alexander (William John Alexander), 1882-1929 [Translator]",-0.03413614050134421
"Boldrewood, Rolf, 1826-1915",0.3081905794143676
"Bone, Jesse F. (Jesse Franklin), 1916-2006",0.3245549798011777
"Bower, B. M., 1871-1940",0.6029435112362815
"Boyesen, Hjalmar Hjorth, 1848-1895",0.29430190722147626
"Bramah, Ernest, 1869?-1942",0.4160589435954152
"Brieux, Eugène, 1858-1932; Sinclair, Upton, 1878-1968",0.47167228327857125
"Brontë, Charlotte, 1816-1855",0.5901861190795891
"Brown, Charles Brockden, 1771-1810",0.5051907558067169
"Browning, Robert, 1812-1889; Orr, Sutherland, Mrs., 1828-1903",0.46546403621805105
"Buchan, John, 1875-1940",-0.3918408779870897
"Burnett, Frances Hodgson, 1849-1924",0.06902095009298886
"Burton, Richard Francis, Sir, 1821-1890 [Translator]",0.05021949436353612
"Butler, Ellis Parker, 1869-1937",0.017722447713215923
"Calhoun, Frances Boyd, 1867-1909",0.5750756263732908
"Carlyle, Thomas, 1795-1881",-0.06372415318208595
"Carroll, Lewis, 1832-1898",0.2284837538196196
"Cather, Willa, 1873-1947",0.5202263355255125
"Chekhov, Anton Pavlovich, 1860-1904",0.30374816343897854
"Chekhov, Anton Pavlovich, 1860-1904; Garnett, Constance, 1861-1946 [Translator]",0.33875649224226717
"Cherbuliez, Victor, 1829-1899",0.6001084173047863
"Chesterton, G. K. (Gilbert Keith), 1874-1936",0.449665954460349
"Chrétien, de Troyes, active 12th century; Comfort, William Wistar, 1874-1955 [Translator]",-0.014965105338914876
"Churchill, Winston, 1871-1947",0.16985015360912933
"Cicero, Marcus Tullius, 106 BCE-43 BCE; Shuckburgh, Evelyn S. (Evelyn Shirley), 1843-1906 [Translator]",1.001194357872009
"Clouston, J. Storer (Joseph Storer), 1870-1944",0.4878596990880831
"Cobb, Irvin S. (Irvin Shrewsbury), 1876-1944",0.5214246710141498
"Collins, Wilkie, 1824-1889",0.3093023491757256
"Collins, Wilkie, 1824-1889 [Contributor]; Ouida, 1839-1908 [Contributor]; Stevenson, Robert Louis, 1850-1894 [Contributor]; Stretton, Hesba, 1832-1911 [Contributor]; Weyman, Stanley John, 1855-1928 [Contributor]",0.2818995644064508
"Collodi, Carlo, 1826-1890; Della Chiesa, Carol, 1887- [Translator]",0.20640757878621407
"Connor, Ralph, 1860-1937",0.14079573846632418
"Conrad, Joseph, 1857-1924",0.08176255356134467
"Coolidge, Susan, 1835-1905 [Contributor]; Miller, Francis Trevelyan, 1877-1959 [Contributor]; Powelson, Amy Therese, Mrs. [Contributor]; Sidney, Margaret, 1844-1924 [Contributor]",0.12560885003272537
"Cooper, James Fenimore, 1789-1851",0.15510417273824245
"Craik, Dinah Maria Mulock, 1826-1887",0.14057298467940624
"Crawford, F. Marion (Francis Marion), 1854-1909",0.5581936224086863
"Curwood, James Oliver, 1878-1927",0.03767609157445242
"Daudet, Alphonse, 1840-1897",-0.3286618098878023
"Daudet, Alphonse, 1840-1897; Blaydes, W. [Translator]",0.3410722187587193
"Davis, Richard Harding, 1864-1916",0.28377343990184634
"Davis, Richard Harding, 1864-1916; Morris, Gouverneur, 1876-1953 [Author of introduction, etc.]",0.5581872576758973
"Day, Holman, 1865-1935",0.33572987752540073
"De la Mare, Walter, 1873-1956",0.2161022694266619
"Deland, Margaret Wade Campbell, 1857-1945",-0.5922002792358394
"Dickens, Charles, 1812-1870",0.2386046497666341
"Disraeli, Benjamin, Earl of Beaconsfield, 1804-1881",-0.3170530682518368
"Dodge, Mary Mapes, 1830-1905",0.6488507015760555
"Donnell, Annie Hamilton, 1862-1943",0.7388774099804101
"Dostoyevsky, Fyodor, 1821-1881; Hogarth, C. J., 1869-1942 [Translator]",-0.7070489895494677
"Doyle, Arthur Conan, 1859-1930",0.3619584223119223
"Dumas, Alexandre, 1802-1870",0.40797464163986946
"Dumas, Alexandre, 1824-1895",0.6764975547790526
"Duncan, Sara Jeannette, 1861-1922",0.33177435398101807
"Dunsany, Lord, 1878-1957",1.0991146564483634
"Eastman, Charles A., 1858-1939",0.7026252746582027
"Edgeworth, Maria, 1767-1849; Ritchie, Anne Thackeray, 1837-1919 [Author of introduction, etc.]",0.3810275395711264
"Eiríkr Magnússon, 1833-1913 [Translator]; Morris, William, 1834-1896 [Translator]",0.1419786031429582
"Emerson, Ralph Waldo, 1803-1882",0.6307289259774341
"Ferber, Edna, 1885-1968",0.49071104185921793
"Ferguson, W. B. M. (William Blair Morton), 1882-1967",-0.02913472056388853
"Field, Ellen Robena",0.4502956970878266
"Fielding, Sarah, 1710-1768",0.20028984546661366
"Fitzgerald, F. Scott (Francis Scott), 1896-1940",0.7209088358768195
"Flaubert, Gustave, 1821-1880",0.47975941804739125
"Flint, Homer Eon, 1888-1924; Hall, Austin, 1885?-1933",0.5021137552163034
"Ford, Ford Madox, 1873-1939",-0.004630430029072785
"Forster, E. M. (Edward Morgan), 1879-1970",0.07302743060581071
"Fox, John, Jr., 1862-1919",0.3271907195218206
"France, Anatole, 1844-1924",0.6029780507087704
"France, Anatole, 1844-1924; Douglas, Robert B. (Robert Bruce), 1848- [Translator]",0.6379745329840707
"Frederic, Harold, 1856-1898",0.17127275706535594
"Freeman, Mary Eleanor Wilkins, 1852-1930",-0.4526076714197793
"Gaboriau, Emile, 1832-1873",0.40874756807794904
"Galsworthy, John, 1867-1933",0.18329659886690894
"Gillmore, Inez Haynes, 1873-1970",0.1540255016750758
"Gissing, George, 1857-1903",0.20611238419559197
"Goethe, Johann Wolfgang von, 1749-1832; Boylan, R. Dillon [Translator]",0.4940538839860396
"Gogol, Nikolai Vasilevich, 1809-1852; Hogarth, D. J. [Translator]",-2.1246395111083975
"Gordon, Adam Lindsay, 1833-1870; Clarke, Marcus Andrew Hislop, 1846-1881 [Editor]",0.039009094238281
"Grahame, Kenneth, 1859-1932",-0.1192365477356731
"Green, Anna Katharine, 1846-1935",0.04972247419686145
"Grey, Zane, 1872-1939",0.2372741764865917
"Groner, Auguste, 1850-1929; Colbron, Grace Isabel, 1869-1943 [Translator]",-0.0434256160960479
"Guðmundur Kamban, 1888-1945",2.046716213226318
"Haggard, H. Rider (Henry Rider), 1856-1925",0.2752690356710682
"Hale, Lucretia P. (Lucretia Peabody), 1820-1900",-0.27758980960380725
"Harben, Will N. (Will Nathaniel), 1858-1919",0.49700602463313487
"Hardy, Thomas, 1840-1928",0.3610968938687952
"Harris, Joel Chandler, 1848-1908",0.5749816894531247
"Harte, Bret, 1836-1902",0.3160316996468074
"Hawthorne, Julian, 1846-1934",-1.718344582451714
"Hawthorne, Nathaniel, 1804-1864",0.260447586863494
"Hazlitt, William, 1778-1830",0.11592616873272377
"Hemphill, Vivia, 1889-1934",-0.1836528053766565
"Herr, Charlotte B. (Charlotte Bronte), 1875-1963",0.32419204711914057
