author,score
"Adams, F. Colburn (Francis Colburn), 1850-1891",4.264739629328682
"Adams, H. A., Mrs.",3.9732668740408763
"Adams, Henry, 1838-1918",2.6854961675756117
"Addison, Joseph, 1672-1719; Steele, Richard, Sir, 1672-1729",2.726740090743355
"Addleshaw, Percy, 1866-1916 [Contributor]; Doyle, Arthur Conan, 1859-1930 [Contributor]; Haggard, H. Rider (Henry Rider), 1856-1925 [Contributor]; Landers, J. [Contributor]; Scully, W. C. (William Charles), 1855-1943 [Contributor]",3.6775418853759767
"Aesop, 620? BCE-564? BCE; Townsend, George Fyler, 1814-1900 [Translator]",3.046118396227477
"Ainsworth, William Harrison, 1805-1882",2.5074760280077966
"Alcott, Louisa May, 1832-1888",4.5119221927909505
"Aldrich, Thomas Bailey, 1836-1907",4.029345971566659
"Alger, Horatio, Jr., 1832-1899",3.444337506448069
"Altemus, Henry [Editor]",5.626730242083149
"Andersen, H. C. (Hans Christian), 1805-1875",2.3860569908505393
"Angellotti, Marion Polk, 1887-1975",4.083865678671635
"Anstey, F., 1856-1934 [Contributor]; Barrie, J. M. (James Matthew), 1860-1937 [Contributor]; Corelli, Marie, 1855-1924 [Contributor]; Harraden, Beatrice, 1864-1936 [Contributor]; Morrison, Arthur, 1863-1945 [Contributor]; Quiller-Couch, Arthur, 1863-1944 [Contributor]; Zangwill, Israel, 1864-1926 [Contributor]",-0.9736953947279189
"Arthur, T. S. (Timothy Shay), 1809-1885",2.8420179615850034
"Atkinson, Eleanor, 1863-1942",2.5218125665691535
"Aytoun, William Edmondstoune, 1813-1865 [Contributor]; Barrie, J. M. (James Matthew), 1860-1937 [Contributor]; Crockett, S. R. (Samuel Rutherford), 1860-1914 [Contributor]; Maclaren, Ian, 1850-1907 [Contributor]; Scott, Walter, 1771-1832 [Contributor]; Stevenson, Robert Louis, 1850-1894 [Contributor]",2.5104681332906087
"Bacon, Francis, 1561-1626",1.6171358199346633
"Ballou, Maturin M. (Maturin Murray), 1820-1895",2.514921877119276
"Balzac, Honoré de, 1799-1850; Bell, Clara, 1834-1927 [Translator]; Marriage, Ellen, 1865-1946 [Translator]",4.5310883820056915
"Balzac, Honoré de, 1799-1850; Marriage, Ellen, 1865-1946 [Translator]",3.0314583741981567
"Balzac, Honoré de, 1799-1850; Saintsbury, George, 1845-1933 [Author of introduction, etc.]",5.435904502868652
"Balzac, Honoré de, 1799-1850; Wormeley, Katharine Prescott, 1830-1908 [Translator]",2.835946003595988
"Bannerman, Helen, 1862-1946",3.758435173034668
"Baring, Maurice, 1874-1945",3.091604271290465
"Barker, Nettie Garmer",3.8658687591552736
"Barr, Amelia E., 1831-1919",3.7534816265106197
"Barr, Robert, 1850-1912",3.831954390002835
"Barrie, J. M. (James Matthew), 1860-1937",1.9033741216078455
"Beach, Lewis, 1891-; Gerstenberg, Alice, 1885-1972; Goodman, Edward, 1888-; Moeller, Philip, 1880-1958; Eaton, Walter Prichard, 1878-1957 [Author of introduction, etc.]",4.367458417818144
"Beaumont, Mary [Contributor]; Douglas, Robert K. (Robert Kennaway), Sir, 1838-1913 [Contributor]; Kipling, Rudyard, 1865-1936 [Contributor]; Mitford, Mary Russell, 1787-1855 [Contributor]; Roberts, Morley, 1857-1942 [Contributor]; Syrett, Netta, 1865-1943 [Contributor]",3.5042122723011486
"Beck, L. Adams (Lily Adams), 1862-1931",2.3142900466918945
"Beerbohm, Max, Sir, 1872-1956",2.9261532097576772
"Beerbohm, Max, Sir, 1872-1956; Lane, John, 1854-1925 [Contributor]",-0.4341577291488649
"Bennett, Arnold, 1867-1931",4.731721973419189
"Benson, E. F. (Edward Frederic), 1867-1940",2.659343037554013
"Biggers, Earl Derr, 1884-1933",4.429539918899536
"Bindloss, Harold, 1866-1945",4.133547710922529
